Year,Energy_Use,CO2_emissions
1990,7671.773066,19.40734628
1991,7631.467806,19.00340342
1992,7677.401401,19.02286035
1993,7709.496589,19.2183334
1994,7757.830822,19.25621185
1995,7763.755106,19.21690864
1996,7844.468266,19.5753803
1997,7828.581096,20.33085525
1998,7803.697605,20.26630029
1999,7923.223893,20.10113245
2000,8056.86385,20.46980666
2001,7827.886325,20.17153061
2002,7843.344849,19.445549
2003,7794.23553,19.50649945
2004,7881.578642,19.5976305
2005,7846.499688,19.46926248
2006,7697.652535,18.94591375
2007,7758.165986,19.04291352
2008,7488.081921,18.27849449
2009,7056.783653,16.80869862
2010,7161.426552,17.43173849
2011,7029.954601,16.60421817
2012,6872.027284,15.78978264
2013,6905.598633,16.11118443
2014,6960.683997,16.04092103
2015,6803.996607,15.56003496
