Country Name,Country Code,Year,Trade (% of GDP),Population growth (annual %),GDP growth (annual %),GDP per capita,"Inflation, CPI (annual %)","Employment to population ratio, 15+","Net FDI(BoP, current US$)",NAFTA Agreement
Canada,CAN,1961,35.90078147,1.999184557,3.163291684,2240.433039,1.018766756,,-639517888.3,No
Canada,CAN,1962,35.60278527,1.859888233,7.425384774,2268.585346,1.061571125,,-645713817.3,No
Canada,CAN,1963,35.41836266,1.862845928,5.349546457,2374.498448,1.628151261,,-466340464.1,No
Canada,CAN,1964,37.09608254,1.885714943,6.642894415,2555.111146,1.912144703,,-318267102.7,No
Canada,CAN,1965,36.98539632,1.810166597,6.316714176,2770.361804,2.332657201,,-1011075310,No
Canada,CAN,1966,38.40814908,1.862813771,6.704991764,3047.106147,3.815659068,,-1207977811,No
Canada,CAN,1967,39.23638685,1.799356505,3.091205962,3217.159294,3.579952267,,-1211663929,No
Canada,CAN,1968,40.85157035,1.613408503,4.995666605,3462.678872,4.055299539,,-1012517433,No
Canada,CAN,1969,42.02169374,1.359783472,5.045456367,3763.953379,4.561558902,,-1199987250,No
Canada,CAN,1970,41.63208305,1.3978316,,4121.932814,3.346039814,,-896964280.8,No
Canada,CAN,1971,40.8240517,2.948194528,,4520.162878,2.704918033,,-1815306869,No
Canada,CAN,1972,41.9900954,1.160846567,,5089.587902,4.988028731,,-2030697594,No
Canada,CAN,1973,44.43751018,1.222616584,,5838.660894,7.487647282,,-2018654190,No
Canada,CAN,1974,48.24652081,1.396021669,,7033.011021,10.99717115,,-2366551997,No
Canada,CAN,1975,46.0101635,1.459424913,,7511.211343,10.6721886,,-2136728996,No
Canada,CAN,1976,44.41449449,1.315806566,,8809.26466,7.54173863,57.14,-1448131765,No
Canada,CAN,1977,45.91255999,1.170256878,,8919.057461,7.976445396,56.88,-1740950705,No
Canada,CAN,1978,49.00909768,0.995456944,,9123.691334,8.973723352,57.49,-1462953096,No
Canada,CAN,1979,52.41406138,0.989698733,,10043.66096,9.144676979,58.88,-1479180378,No
Canada,CAN,1980,53.4976285,1.289594978,2.2,11170.56397,10.12922051,59.43,-1719851090,No
Canada,CAN,1981,52.27813173,1.233397255,3.5,12337.46625,12.47161241,60.09,4881869417,No
Canada,CAN,1982,46.78558224,1.189624341,-3.2,12481.87479,10.7689719,57.29,2281061698,No
Canada,CAN,1983,46.88973554,0.988487567,2.6,13425.12249,5.86358803,56.95,629011721.3,No
Canada,CAN,1984,52.6754345,0.944034716,5.9,13877.91708,4.304778304,57.67,-1090877860,No
Canada,CAN,1985,53.0490388,0.913774275,4.7,14114.80776,3.962030541,58.75,2507671553,No
Canada,CAN,1986,53.28572791,0.994040151,2.1,14461.06924,4.194786291,59.76,655376615.3,No
Canada,CAN,1987,51.08073422,1.318167782,4.1,16308.96697,4.356108712,60.61,-994078844.8,No
Canada,CAN,1988,51.57086552,1.29662489,4.4,18936.9641,4.028234149,61.66,149516835.8,No
