"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.12486912673634","2.15446401201086","2.1859876948516","2.24243367688901","2.32853505106863","2.35966594463168","2.37506955505508","2.35866033322659","2.33756251643658","2.27841422217249","2.20750240285675","2.16366303728585","2.12319670534742","2.10324679985572","2.05315760926616","2.07799637830142","1.98982047218827","1.86761361072395","1.85810876867115","1.85479295100225","1.88920385574934","1.9433502967881","1.97119420581511","2.02999008147487","2.04164214054903","2.10053683795815","2.13979565457201","2.14052337625949","2.15610109033214","","",
"Afghanistan","AFG","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.400000005960464","0.400000005960464","0.400000005960464","0.389999985694885","0.400000005960464","0.400000005960464","0.400000005960464","0.400000005960464","0.400000005960464","0.389999985694885","0.389999985694885","0.400000005960464","0.409999996423721","0.419999986886978","0.430000007152557","0.439999997615814","0.469999998807907","0.490000009536743","0.600000023841858","0.740000009536743","0.889999985694885","1.07000005245209","1.27999997138977","1.53999996185303","1.8400000333786","2.19000005722046","2.61999988555908","2.72000002861023","2.82999992370605","","",
"Africa Western and Central","AFW","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10454044099636","1.10902637368733","1.10897443469136","1.12668733909028","1.13570827764009","1.13153950602647","1.11266209441721","1.09236647398453","1.07840825861255","1.07495892756447","1.07250354247096","1.09576369843022","1.11939422650077","1.12982211000561","1.14169607182193","1.1959043074232","1.20716962381721","1.21678023083698","1.23505425700293","1.24202781355478","1.19627011438954","1.2381917973954","1.25171126277668","1.27715758094442","1.31692610277791","1.37983539471986","1.36843142114972","1.35918566434955","1.34901137050251","","",
"Angola","AGO","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.28999996185303","2.42000007629395","2.50999999046326","2.99000000953674","2.94000005722046","2.99000000953674","3.10999989509583","3.25999999046326","3.03999996185303","3.07999992370605","3.20000004768372","3.78999996185303","3.74000000953674","4.28000020980835","4.01000022888184","4.11999988555908","4.03000020980835","3.96000003814697","4.1399998664856","4.21999979019165","4.19000005722046","4.21999979019165","4.01000022888184","4.40999984741211","4.63000011444092","4.8600001335144","4.98999977111816","5.26000022888184","4.80999994277954","","",
"Albania","ALB","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52999997138977","3.45000004768372","3.41000008583069","3.42000007629395","3.44000005722046","3.4300000667572","3.36999988555908","3.42000007629395","3.49000000953674","3.50999999046326","3.57999992370605","3.59999990463257","3.59999990463257","3.57999992370605","3.40000009536743","3.21000003814697","3.22000002861023","1.75","1.45000004768372","1.57000005245209","1.88999998569489","1.52999997138977","1.74000000953674","1.95000004768372","2.35999989509583","2.70000004768372","2.99000000953674","3.28999996185303","3.0699999332428","","",
"Andorra","AND","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78330246543254","6.84148653370593","6.76465685068447","7.02310160516408","7.01700368005449","6.79351431158902","6.54645090431234","6.84465400581934","6.99349724769246","7.22408523167096","7.33262851708425","7.10557866771572","7.22779447581889","7.12195393732898","6.50114385714331","6.20997515517234","6.35487675731241","6.48947112918629","6.30622514033574","6.22500481658196","6.3136546171889","6.28580225648939","5.52389899141064","5.76761201260602","5.25423615829785","4.86071865415235","4.81561291963126","5.20986594938448","5.18682036982392","","",
"United Arab Emirates","ARE","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.30999994277954","1.30999994277954","1.29999995231628","1.29999995231628","1.29999995231628","1.28999996185303","1.28999996185303","1.29999995231628","1.29999995231628","1.29999995231628","1.30999994277954","1.33000004291534","1.37000000476837","1.42999994754791","1.5","1.88999998569489","2.40000009536743","3.02999997138977","2.99000000953674","2.92000007629395","2.85999989509583","2.78999996185303","2.75","2.69000005722046","2.66000008583069","2.59999990463257","2.75999999046326","3.01999998092651","3.53999996185303","","",
"Argentina","ARG","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.94999980926514","5.51000022888184","5.82000017166138","4.80999994277954","5.21999979019165","4.67000007629395","4.6100001335144","4.57000017166138","4.48999977111816","4.78999996185303","4.42000007629395","3.77999997138977","3.76999998092651","4.01000022888184","3.97000002861023","4.09999990463257","4.46999979019165","4.57999992370605","4.44999980926514","4.51000022888184","4.48000001907349","3.97000002861023","3.85999989509583","3.48000001907349","3.60999989509583","3.71000003814697","3.82999992370605","3.91000008583069","3.78999996185303","","",
"Armenia","ARM","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.170000001788139","0.200000002980232","0.219999998807907","0.219999998807907","0.25","0.270000010728836","0.300000011920929","0.319999992847443","0.349999994039536","0.349999994039536","0.360000014305115","0.349999994039536","0.360000014305115","0.370000004768372","0.389999985694885","0.400000005960464","0.419999986886978","0.46000000834465","0.550000011920929","0.519999980926514","0.639999985694885","0.529999971389771","0.46000000834465","1.4099999666214","0.910000026226044","1.03999996185303","1.22000002861023","0.879999995231628","0.899999976158142","","",
"American Samoa","ASM","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
