"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.636648506724","66.7219313854532","66.7322812048532","66.6816629642833","66.713309835785","66.794287291451","66.8134076663319","66.866036720402","66.9001149655203","66.9698587187587","67.0033698030741","66.9097712051511","67.1159147987763","67.5197314257713","67.7148531291192","67.6892813483719","67.6907156399501","67.853091425082","67.4261260237622","66.6578514105711","66.5909321900059","66.6343017698662","66.7721220413814","66.7668549512142","66.7987391840914","66.7434435756348","66.7527943963117","66.7001732421904","66.5644562376236","64.3053306839961","64.5642987090679",
"Afghanistan","AFG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.867000579834","41.7890014648438","41.814998626709","41.7789993286133","41.5320014953613","41.5789985656738","41.6240005493164","41.5979995727539","41.5989990234375","41.6180000305176","41.6969985961914","41.5779991149902","41.7200012207031","41.8699989318848","41.8279991149902","41.7799987792969","41.5880012512207","41.6059989929199","41.4519996643066","41.4140014648438","41.6500015258789","41.6339988708496","41.765998840332","41.8520011901855","41.9210014343262","41.9690017700195","42.0209999084473","42.0929985046387","42.1189994812012","36.7109985351563","35.8930015563965",
"Africa Western and Central","AFW","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3258319705239","63.1878779775818","63.099686355247","62.9977560342669","62.8975325986433","62.8031109369532","62.7048177806829","62.5888304623768","62.3456033995586","62.1921472632665","62.1474423833473","62.1184116876294","62.0488108465603","61.9937490843625","61.8877906429929","61.8528727822525","61.7534347351774","61.5484776555647","61.3173157271073","61.0773029163665","60.9619071126269","59.5939071195682","58.3937723991285","57.96759417564","57.8867476963261","57.2183075012986","56.8392541150047","56.7590544213666","56.700718185658","55.1974181889877","55.408380277216",
"Angola","AGO","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.1309967041016","74.1399993896484","74.1230010986328","74.1679992675781","74.1869964599609","74.2040023803711","74.2030029296875","74.197998046875","74.1869964599609","74.177001953125","74.1940002441406","74.2160034179688","74.2030029296875","74.2180023193359","74.2300033569336","74.2610015869141","74.2979965209961","74.3249969482422","74.338996887207","69.9739990234375","71.6289978027344","71.6490020751953","71.6360015869141","71.6259994506836","71.5979995727539","71.5719985961914","71.5559997558594","71.5189971923828","71.4830017089844","69.802001953125","69.9369964599609",
"Albania","ALB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.3250007629395","45.9780006408691","48.3969993591309","50.6209983825684","53.6069984436035","53.3580017089844","52.3009986877441","49.6879997253418","48.3870010375977","49.0449981689453","48.8009986877441","48.943000793457","48.6080017089844","48.1180000305176","47.4160003662109","46.701000213623","45.6059989929199","46.2430000305176","47.4729995727539","47.4220008850098","51.8600006103516","49.3650016784668","44.101001739502","43.7779998779297","45.9599990844727","48.4729995727539","50.1520004272461","52.0060005187988","53.3919982910156","50.0890007019043","51.609001159668",
"Andorra","AND","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.204157932443","42.2246590624125","42.0828813445436","42.2026762377549","41.7373566938454","42.0042512944218","42.024272567401","41.7854329058156","42.0311101846096","41.487114631842","41.0422575436447","40.4191280678192","40.6031719530658","41.2269613972833","41.4849761748382","42.1135383845391","42.5378100624015","42.669643331057","42.8590158628293","43.2803108987697","42.606441958275","42.659981654786","42.7721091141884","42.4876413544847","42.2721412968465","42.3733797002798","41.7747497361948","41.619216605792","41.8322036325299","40.0975854213038","40.0953374327189",
"United Arab Emirates","ARE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.1790008544922","73.4160003662109","73.7360000610352","73.7760009765625","73.7779998779297","73.943000793457","74.120002746582","74.2369995117188","74.411003112793","74.6179962158203","74.6630020141602","74.7720031738281","74.9189987182617","75.0240020751953","75.0820007324219","75.5080032348633","75.8410034179688","76.2249984741211","76.5469970703125","76.9779968261719","77.3919982910156","77.754997253418","78.1350021362305","78.5070037841797","78.8850021362305","79.2490005493164","78.7829971313477","77.3369979858398","77.4150009155273","73.2730026245117","73.8610000610352",
"Argentina","ARG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.6959991455078","56.8349990844727","55.2569999694824","54.689998626709","49.9370002746582","51.3810005187988","53.4560012817383","55.0849990844727","53.7490005493164","52.9679985046387","50.984001159668","48.3969993591309","51.6769981384277","53.5660018920898","54.4300003051758","55.5709991455078","55.9410018920898","55.6920013427734","55.5229988098145","55.548999786377","56.2949981689453","56.0019989013672","55.7029991149902","55.1189994812012","54.7760009765625","54.2330017089844","53.898998260498","54.1049995422363","54.3569984436035","49.5999984741211","53.814998626709",
